"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.395100000E0,4.700258721E-1,2.603785595E-1,-7.858944350E-1
4.415071000E0,8.230868927E-1,5.360268304E-1,5.362715364E-1
4.435043000E0,9.014191172E-1,5.982707334E-1,1.041389692E0
4.455015000E0,5.765525664E-1,7.034773457E-1,1.030993343E0
4.474986000E0,2.829356923E-1,8.371511275E-1,6.506272870E-1
4.494958000E0,2.195264027E-3,9.402182436E-1,4.529954910E-1
4.514930000E0,-4.533976698E-2,1.069779679E0,5.207653052E-1
4.534901000E0,-2.260226592E-2,1.104691064E0,7.759272712E-1
4.554873000E0,-4.049547307E-1,8.880938244E-1,2.036589890E0
4.574845000E0,-1.361392749E0,1.119624268E0,2.965590835E0
4.594816000E0,-1.978159541E0,1.734751355E0,2.383018121E0
4.614788000E0,-7.250996183E-1,1.658570906E0,8.732085675E-1
4.634760000E0,1.934998976E-1,1.394051641E0,1.657076358E0
4.654732000E0,-3.359180076E-1,7.790549469E-1,3.421262012E0
4.674703000E0,-1.138905097E0,3.073957282E-1,2.902578315E0
4.694675000E0,-1.515720065E0,2.622511303E-1,4.643572158E-1
4.714647000E0,-1.213329115E0,4.926431215E-1,-1.244855840E0
4.734618000E0,-3.908164556E-1,3.056099886E-1,-1.495316645E0
4.754590000E0,1.478801404E-1,-4.198581505E-1,3.764203548E-2
4.774562000E0,3.573900433E-1,-1.425164090E0,1.338376207E0
4.794533000E0,1.656595132E-1,-2.046024372E0,7.324678409E-1
4.814505000E0,-3.306249619E-1,-2.051264647E0,-1.296227723E0
4.834477000E0,-4.814805675E-1,-1.881381397E0,-3.207242809E0
4.854448000E0,-4.960689320E-1,-1.404482489E0,-3.947164680E0
4.874420000E0,-6.209998839E-1,-1.156810806E0,-3.547992809E0
4.894392000E0,-5.912223534E-1,-1.033146873E0,-2.537224985E0
4.914364000E0,-5.477504247E-1,-8.252216381E-1,-1.438509191E0
4.934335000E0,-2.886954189E-1,-3.172669977E-1,-8.064643550E-1
4.954307000E0,-9.877230884E-2,1.728436947E-2,1.543664932E-3
4.974279000E0,-4.671317561E-1,1.183447212E-1,1.258340104E0
4.994250000E0,-8.319452052E-1,1.703200364E-1,2.383691136E0
5.014222000E0,-6.194369962E-1,-1.729600543E-1,1.967171745E0
5.034194000E0,-2.677759634E-1,1.878464806E-1,1.119217887E0
5.054165000E0,-1.263970863E-1,7.780363619E-1,1.525383028E0
5.074137000E0,-1.904524384E-1,1.405111064E0,3.142482557E0
5.094109000E0,-2.270302441E-1,1.356456383E0,2.856392913E0
5.114080000E0,-2.527475183E-2,1.708734754E0,5.456978327E-1
5.134052000E0,1.355122925E0,1.764920064E0,-1.279320499E0
5.154024000E0,2.114839084E0,1.303847814E0,-7.418953067E-1
5.173995000E0,1.661688349E0,6.674830556E-2,1.587561150E0
