"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.003718535E2,6.500680637E1,2.558549838E1,2.147931903E1,1.552630722E0,1.905415860E2,4.721064189E0,3.396481997E0
1.013718520E2,6.500679273E1,2.558548644E1,2.147341706E1,1.545605210E0,1.970490091E2,4.721744197E0,3.395536596E0
1.023718499E2,6.500678118E1,2.558547332E1,2.151171685E1,1.562735772E0,2.028268933E2,4.721631764E0,3.395692937E0
1.033718480E2,6.500676859E1,2.558545626E1,2.132328961E1,1.536299153E0,2.053908789E2,4.721229379E0,3.396252374E0
1.043718489E2,6.500675637E1,2.558544444E1,2.155381832E1,1.546487941E0,2.035725428E2,4.722796483E0,3.394072836E0
1.053718441E2,6.500674629E1,2.558542380E1,2.199279010E1,1.564065061E0,2.112245146E2,4.723722860E0,3.392783426E0
1.063718420E2,6.500673568E1,2.558539948E1,2.217556575E1,1.549595319E0,2.161747119E2,4.727855684E0,3.387021946E0
1.073718401E2,6.500672684E1,2.558537101E1,2.238202175E1,1.549602029E0,2.226881763E2,4.730018136E0,3.384001398E0
1.083718383E2,6.500671635E1,2.558534723E1,2.242848851E1,1.569206696E0,2.257428397E2,4.728504496E0,3.386116104E0
1.093718357E2,6.500670495E1,2.558532602E1,2.233619214E1,1.549045900E0,2.246086642E2,4.729376660E0,3.384897848E0
1.103718350E2,6.500669297E1,2.558530509E1,2.232388218E1,1.551558638E0,2.207488220E2,4.729317327E0,3.384980746E0
1.113718331E2,6.500668306E1,2.558528309E1,2.250948131E1,1.530397657E0,2.203488771E2,4.730126232E0,3.383850301E0
1.123718308E2,6.500667337E1,2.558525814E1,2.245539223E1,1.545995009E0,2.238325140E2,4.730828402E0,3.382868555E0
1.133718289E2,6.500666445E1,2.558523291E1,2.243127957E1,1.572155108E0,2.273749369E2,4.731925542E0,3.381333716E0
1.143718271E2,6.500665487E1,2.558520508E1,2.269940552E1,1.563738736E0,2.283951568E2,4.733443488E0,3.379208454E0
1.153718250E2,6.500664453E1,2.558518206E1,2.247503117E1,1.563790914E0,2.264079666E2,4.734007462E0,3.378418326E0
1.163718230E2,6.500663562E1,2.558516153E1,2.275662704E1,1.561933158E0,2.237059646E2,4.734130651E0,3.378245700E0
1.173718216E2,6.500662679E1,2.558513690E1,2.279870620E1,1.567337380E0,2.224420083E2,4.735989561E0,3.375639186E0
1.183718194E2,6.500661976E1,2.558510778E1,2.298161633E1,1.583215505E0,2.289284531E2,4.738300304E0,3.372394885E0
1.193718172E2,6.500661219E1,2.558508015E1,2.287849987E1,1.538286527E0,2.322346274E2,4.742034232E0,3.367142464E0
1.203718156E2,6.500660614E1,2.558504573E1,2.306585957E1,1.598450042E0,2.373259503E2,4.743627532E0,3.364897453E0
1.213718145E2,6.500659811E1,2.558501672E1,2.266064413E1,1.557881776E0,2.389989039E2,4.740264853E0,3.369632941E0
